id,project_id,sdlc_method_id,duration_months,total_development_cost,additional_costs,status,created_at,last_updated_at
413,413,2,12,4850000000,385000000,active,2025-01-10,2025-01-12
414,414,1,12,4250000000,325000000,active,2025-01-25,2025-01-28
415,415,7,18,8200000000,620000000,active,2025-03-05,2025-03-08
416,416,3,9,2650000000,195000000,cancelled,2025-03-25,2025-03-28
417,417,2,10,3850000000,285000000,delayed,2025-05-10,2025-05-12
418,418,4,8,1850000000,135000000,completed,2025-05-25,2025-05-28
419,419,6,10,4450000000,345000000,active,2025-07-05,2025-07-08
420,420,5,8,1950000000,145000000,cancelled,2025-07-25,2025-07-28
421,421,6,9,4250000000,325000000,active,2025-09-10,2025-09-12
422,422,4,8,1650000000,125000000,delayed,2025-09-25,2025-09-28
423,423,3,8,1850000000,135000000,completed,2025-11-05,2025-11-08
424,424,2,9,3650000000,265000000,active,2025-11-25,2025-11-28
425,425,4,9,1650000000,125000000,completed,2024-01-15,2024-01-18
426,426,5,9,2250000000,175000000,delayed,2024-02-10,2024-02-12
427,427,2,10,4850000000,385000000,active,2024-03-15,2024-03-18
428,428,1,9,3850000000,285000000,active,2024-04-20,2024-04-23
429,429,2,9,4250000000,325000000,completed,2024-05-25,2024-05-28
430,430,3,9,1850000000,135000000,cancelled,2024-06-30,2024-07-03
431,431,5,9,2450000000,185000000,delayed,2024-08-05,2024-08-08
432,432,4,9,1950000000,145000000,completed,2024-09-10,2024-09-12
433,433,2,9,3850000000,285000000,active,2024-10-15,2024-10-18
434,434,1,9,2850000000,215000000,cancelled,2024-11-20,2024-11-23
435,435,4,9,1850000000,135000000,completed,2024-12-25,2024-12-28
436,436,6,9,4850000000,385000000,delayed,2025-01-01,2025-01-04
437,437,2,11,4250000000,325000000,active,2025-02-05,2025-02-08
438,438,3,9,1950000000,145000000,completed,2025-03-10,2025-03-12
439,439,5,9,2250000000,175000000,cancelled,2025-04-15,2025-04-18
440,440,4,9,2450000000,185000000,delayed,2025-05-20,2025-05-23
441,441,2,9,4850000000,385000000,active,2025-06-25,2025-06-28
442,442,4,8,1850000000,135000000,completed,2025-07-31,2025-08-03
443,443,1,8,2850000000,215000000,cancelled,2025-09-05,2025-09-08
444,444,6,9,4450000000,345000000,active,2025-10-10,2025-10-12
445,445,3,9,1950000000,145000000,active,2025-11-15,2025-11-18
446,446,4,9,1850000000,135000000,completed,2025-12-20,2025-12-23
447,447,2,9,3850000000,285000000,active,2024-01-20,2024-01-23
448,448,5,9,2250000000,175000000,delayed,2024-02-23,2024-02-26
449,449,4,9,1950000000,145000000,completed,2024-03-31,2024-04-03
450,450,2,9,4250000000,325000000,active,2024-05-05,2024-05-08
451,451,3,9,2850000000,215000000,cancelled,2024-06-10,2024-06-13
452,452,5,9,2450000000,185000000,delayed,2024-07-15,2024-07-18
453,453,4,9,1950000000,145000000,completed,2024-08-20,2024-08-23
454,454,2,9,3850000000,285000000,active,2024-09-25,2024-09-28
455,455,1,9,2850000000,215000000,cancelled,2024-10-31,2024-11-03
456,456,6,9,4850000000,385000000,completed,2024-12-05,2024-12-08
457,457,5,9,2250000000,175000000,delayed,2025-01-10,2025-01-13
458,458,3,9,1950000000,145000000,active,2025-02-15,2025-02-18
459,459,2,11,4850000000,385000000,active,2025-03-20,2025-03-23
460,460,4,9,2450000000,185000000,cancelled,2025-04-25,2025-04-28
461,461,5,9,2650000000,205000000,delayed,2025-05-31,2025-06-03
462,462,4,9,1850000000,135000000,completed,2025-07-05,2025-07-08
463,463,3,9,1950000000,145000000,active,2025-08-10,2025-08-12
464,464,1,9,2850000000,215000000,cancelled,2025-09-15,2025-09-18
465,465,3,9,1950000000,145000000,active,2025-10-20,2025-10-23
466,466,4,9,1850000000,135000000,completed,2025-11-25,2025-11-28
467,467,2,9,3850000000,285000000,active,2024-01-31,2024-02-03
468,468,5,9,2250000000,175000000,delayed,2024-03-07,2024-03-10
469,469,4,9,1950000000,145000000,completed,2024-04-13,2024-04-16
470,470,2,9,4250000000,325000000,active,2024-05-18,2024-05-21
471,471,3,9,1850000000,135000000,cancelled,2024-06-23,2024-06-26
472,472,5,9,2450000000,185000000,delayed,2024-07-29,2024-08-01
473,473,4,9,1950000000,145000000,completed,2024-09-03,2024-09-06
474,474,2,9,3850000000,285000000,active,2024-10-08,2024-10-11
475,475,1,9,2850000000,215000000,cancelled,2024-11-13,2024-11-16
476,476,6,9,4850000000,385000000,completed,2024-12-18,2024-12-21
477,477,5,9,2250000000,175000000,delayed,2025-01-23,2025-01-26
478,478,3,9,1950000000,145000000,active,2025-02-28,2025-03-03
479,479,2,11,4850000000,385000000,active,2025-04-05,2025-04-08
480,480,4,9,2450000000,185000000,cancelled,2025-05-10,2025-05-13
481,481,5,9,2650000000,205000000,delayed,2025-06-15,2025-06-18
482,482,4,9,1850000000,135000000,completed,2025-07-20,2025-07-23
483,483,3,9,1950000000,145000000,active,2025-08-25,2025-08-28
484,484,1,9,2850000000,215000000,cancelled,2025-09-30,2025-10-03
485,485,3,9,1950000000,145000000,active,2025-11-05,2025-11-08
486,486,4,9,1850000000,135000000,completed,2025-12-10,2025-12-13
487,487,2,9,3850000000,285000000,active,2024-02-10,2024-02-13
488,488,5,9,2250000000,175000000,delayed,2024-03-17,2024-03-20
489,489,4,9,1950000000,145000000,completed,2024-04-22,2024-04-25
490,490,2,9,4250000000,325000000,active,2024-05-28,2024-05-31
491,491,3,9,1850000000,135000000,cancelled,2024-07-02,2024-07-05
492,492,5,9,2450000000,185000000,delayed,2024-08-07,2024-08-10
493,493,4,9,1950000000,145000000,completed,2024-09-12,2024-09-15
494,494,2,9,3850000000,285000000,active,2024-10-17,2024-10-20
495,495,1,9,2850000000,215000000,cancelled,2024-11-22,2024-11-25
496,496,6,9,4850000000,385000000,completed,2024-11-27,2024-11-30
497,497,5,9,2250000000,175000000,delayed,2025-01-02,2025-01-05
498,498,3,9,1950000000,145000000,active,2025-02-07,2025-02-10
499,499,2,11,4850000000,385000000,active,2025-03-14,2025-03-17
500,500,4,9,2450000000,185000000,cancelled,2025-04-19,2025-04-22
